Country,Lyssavirus Free,Rabies Virus Free,Canine (Dog) Rabies Free,Robust National Rabies Surveillance,Robust National Rabies Control Program Implemented,Vaccine Availability,RIG Availability
Iran,No,No,No,No,No,Limited Availability,Not Readily Available
Iraq,No,No,No,No,No,Limited Availability,Not Readily Available
Ireland,No,Yes,Yes,Yes,Yes,Available,Limited Availability
Israel (including West Bank and Gaza),No,No,No,No,No,Available,Available
"Italy (Including Holy See, Vatican City)",No,Yes,Yes,Yes,Yes,Available,Available
Jamaica,No,No,Yes,No,No,Available,Limited Availability
Japan,No,Yes,Yes,Yes,Yes,Available,Available
Jordan,No,No,No,No,No,Available,Available
Kazakhstan,No,No,No,No,No,Available,Not Readily Available
Kenya,No,No,No,No,No,Limited Availability,Limited Availability
Kiribati,Yes,Yes,Yes,No (Unknown),No (Unknown),Limited Availability,Limited Availability
Kosovo,No,No,Yes,Yes,Yes,Limited Availability,Not Readily Available
Kuwait,No,No,No,No (Unknown),No (Unknown),Available,Available
Kyrgyzstan,No,No,No,No,No,Limited Availability,Not Readily Available
Laos,No,No,No,No,No,Available,Not Readily Available
Latvia,No,Yes,Yes,Yes,No (Unknown),Limited Availability,Limited Availability
Lebanon,No,No,No,No,No,Limited Availability,Limited Availability
Lesotho,No,No,No,No,No (Unknown),Available,Limited Availability
Liberia,No,No,No,No,No,Limited Availability,Not Readily Available
Libya,No,No,No,No,No,Not Readily Available,Not Readily Available
Liechtenstein,No,Yes,Yes,Yes,Yes,Available,Limited Availability
Lithuania,No,Yes,Yes,Yes,No (Unknown),Available,Limited Availability
Luxembourg,No,Yes,Yes,Yes,Yes,Available,Limited Availability
Macau SAR (China),No,Yes,Yes,No (Unknown),No (Unknown),Available,Available
Madagascar,No,No,No,No,No,Limited Availability,Limited Availability
Madeira Islands (Portugal),No,Yes,Yes,No (Unknown),No (Unknown),Limited Availability,Limited Availability
Malawi,No,No,No,No,No,Limited Availability,Limited Availability
Malaysia,No,No,No,No,No,Available,Limited Availability
Maldives,Yes,Yes,Yes,No (Unknown),No (Unknown),Limited Availability,Not Readily Available
Mali,No,No,No,No,No,Not Readily Available,Not Readily Available
Malta,No,Yes,Yes,No (Unknown),No (Unknown),Available,Not Readily Available
Marshall Islands,Yes,Yes,Yes,No (Unknown),No (Unknown),Limited Availability,Limited Availability
Martinique (France),No,No,Yes,Yes,Yes,Available,Limited Availability
Mauritania,No,No,No,No,No,Limited Availability,Limited Availability
Mauritius,No,No,Yes,No (Unknown),No (Unknown),Limited Availability,Limited Availability
Mayotte (France),No,Yes,Yes,Yes,Yes,Limited Availability,Limited Availability
Melilla and Ceuta (Spain),No,No,No,No,No (Unknown),Available,Available
Mexico,No,No,No,Yes,Yes,Available,Limited Availability
"Micronesia, Federated States of",Yes,Yes,Yes,No (Unknown),No (Unknown),Limited Availability,Limited Availability
Moldova,No,No,No,Yes,No,Available,Limited Availability
Monaco,No,Yes,Yes,Yes,Yes,Available,Limited Availability
Mongolia,No,No,No,Yes,No,Limited Availability,Not Readily Available
Montenegro,No,No,Yes,Yes,Yes,Available,Limited Availability
Montserrat (U.K.),No,No,Yes,No (Unknown),Yes,Limited Availability,Not Readily Available
Morocco (including Western Sahara),No,No,No,No,No,Available,Available
Mozambique,No,No,No,No,No,Limited Availability,Limited Availability
Namibia,No,No,No,Yes,No,Available,Limited Availability
Nauru,Yes,Yes,Yes,No (Unknown),No (Unknown),Limited Availability,Limited Availability
Nepal,No,No,No,No,No,Limited Availability,Limited Availability
"Netherlands Antilles (Including Bonaire, Curaçao, Saba, St. Eustasius, and St. Maarten)",No,No,Yes,No (Unknown),Yes,Available,Limited Availability
"Netherlands, The",No,Yes,Yes,Yes,Yes,Available,Available
New Caledonia (France),Yes,Yes,Yes,No (Unknown),No (Unknown),Limited Availability,Limited Availability
New Zealand,Yes,Yes,Yes,Yes,Yes,Limited Availability,Limited Availability
Nicaragua,No,No,No,Yes,Yes,Limited Availability,Not Readily Available
Niger,No,No,No,No,No,Limited Availability,Limited Availability
Nigeria,No,No,No,No,No,Limited Availability,Limited Availability
Niue (New Zealand),Yes,Yes,Yes,No (Unknown),No (Unknown),Limited Availability,Limited Availability
Norfolk Island (Australia),Yes,Yes,Yes,No (Unknown),No (Unknown),Limited Availability,Limited Availability
North Korea,No,No,No,No,No,Not Readily Available,Not Readily Available
North Macedonia,No,No,Yes,No,Yes,Limited Availability,Limited Availability
"Northern Mariana Islands (U.S.); Including Saipan, Tinian, and Rota Island",Yes,Yes,Yes,No (Unknown),No (Unknown),Limited Availability,Limited Availability
Norway (mainland),No,Yes,Yes,Yes,Yes,Available,Limited Availability
Oman,No,No,No,No,No,Available,Available
Pakistan,No,No,No,No,No,Not Readily Available,Not Readily Available
Palau,Yes,Yes,Yes,No (Unknown),No (Unknown),Limited Availability,Limited Availability
Panama,No,No,Yes,Yes,Yes,Limited Availability,Not Readily Available
Papua New Guinea,No,No,Yes,No,No,Not Readily Available,Not Readily Available
Paraguay,No,No,Yes,Yes,Yes,Limited Availability,Not Readily Available
Peru,No,No,No,No,No,Limited Availability,Limited Availability
Philippines,No,No,No,No,No,Available,Available
Pitcairn Islands (U.K.),Yes,Yes,Yes,No (Unknown),No (Unknown),Limited Availability,Limited Availability
Poland,No,No,Yes,Yes,No (Unknown),Available,Available
Portugal,No,Yes,Yes,Yes,Yes,Available,Limited Availability
Puerto Rico (U.S.),No,No,Yes,Yes,Yes,Available,Limited Availability
Qatar,No,No,No,No (Unknown),No (Unknown),Limited Availability,Limited Availability
